country,count_2009,count_2010,count_2011,count_2012,count_2013,count_2014,count_2015,count_2016,count_2017,count_2018,count_2019,count_2020,count_2021,count_2022,count_2023,count_2024
Angola,0.0,0.0,0.0,0.33636363636363636,0.33636363636363636,0.33636363636363636,0.33636363636363636,0.33636363636363636,0.32954545454545453,0.32272727272727275,0.32272727272727275,0.32272727272727275,0.32272727272727275,0.32272727272727275,0.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.15873015873015872,0.15873015873015872,0.15873015873015872,0.15873015873015872,0.15873015873015872,0.15873015873015872,0.0,0.0,0.0,0.0,0.0
DRC,0.0,0.0,0.07010309278350516,0.07010309278350516,0.07010309278350516,0.07010309278350516,0.07010309278350516,0.07010309278350516,0.07010309278350516,0.08453608247422681,0.09896907216494845,0.09896907216494845,0.09896907216494845,0.09896907216494845,0.09896907216494845,0.0
Eswatini,0.0,0.0,0.0,0.0,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.06060606060606061,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0,0.18652849740932642,0.18652849740932642,0.18652849740932642,0.18652849740932642,0.18652849740932642,0.19948186528497408,0.21243523316062177,0.21243523316062177,0.21243523316062177,0.21243523316062177,0.21243523316062177
Mauritius,0.0,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.15714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
Mozambique,0.07936507936507936,0.07936507936507936,0.07936507936507936,0.07936507936507936,0.07936507936507936,0.07936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,0.25,0.25,0.25,0.25,0.25,0.3333333333333333,0.3958333333333333,0.3958333333333333,0.3958333333333333,0.3958333333333333,0.3958333333333333,0.0,0.0,0.0,0.0,0.0
Seychelles,0.0,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.3484848484848485,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.0,0.0,0.0
South Africa,0.0,0.0,0.0,0.0,0.0,0.4425,0.4425,0.4425,0.4425,0.4425,0.41875,0.395,0.395,0.395,0.395,0.395
Tanzania,0.0,0.3445378151260504,0.3445378151260504,0.3445378151260504,0.3445378151260504,0.3445378151260504,0.35207496653279785,0.358974358974359,0.358974358974359,0.358974358974359,0.358974358974359,0.358974358974359,0.0,0.0,0.0,0.0
Zambia,0.0,0.0,0.12048192771084337,0.12048192771084337,0.12048192771084337,0.12048192771084337,0.12048192771084337,0.1686746987951807,0.21686746987951808,0.21686746987951808,0.21686746987951808,0.21686746987951808,0.21686746987951808,0.0,0.0,0.0
Zimbabwe,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.334375,0.3611111111111111,0.3611111111111111,0.3611111111111111,0.3611111111111111,0.3611111111111111,0.0
